open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,0.66070,0.66130,0.66000,0.66070,1872384,1760900399999,1236845.13560,3650,932537,616041.73120,0
1760900400000,0.66060,0.66070,0.65710,0.65830,4392961,1760901299999,2894427.64570,7039,1415429,932769.24100,0
1760901300000,0.65820,0.65870,0.65720,0.65820,2898063,1760902199999,1906786.20160,4968,1430612,941295.58860,0
1760902200000,0.65810,0.65870,0.65640,0.65760,2863941,1760903099999,1883156.83500,4984,1140394,750006.58870,0
1760903100000,0.65750,0.65950,0.65640,0.65900,2028456,1760903999999,1335167.98450,4019,1018829,670740.94930,0
1760904000000,0.65890,0.66100,0.65780,0.65810,4056402,1760904899999,2674883.01820,6477,2224526,1467414.45590,0
1760904900000,0.65800,0.65910,0.65730,0.65870,1558394,1760905799999,1025793.16100,3682,836833,550864.63600,0
1760905800000,0.65870,0.65950,0.65730,0.65940,2636198,1760906699999,1736214.10070,3838,1468799,967327.62110,0
1760906700000,0.65940,0.66160,0.65940,0.66130,3874217,1760907599999,2559468.53470,5850,1841720,1216501.39030,0
1760907600000,0.66130,0.66170,0.65840,0.65920,3487944,1760908499999,2303174.36670,5715,1603017,1058339.02970,0
1760908500000,0.65910,0.65930,0.65580,0.65620,3589488,1760909399999,2359115.10780,5084,1285419,845008.55340,0
1760909400000,0.65620,0.65700,0.65560,0.65650,1989957,1760910299999,1306006.49430,3630,975400,640173.36110,0
1760910300000,0.65640,0.65730,0.65570,0.65710,1130525,1760911199999,742365.50930,3172,583000,382780.42800,0
1760911200000,0.65710,0.65930,0.65690,0.65850,3772589,1760912099999,2482110.77500,7724,2050447,1348980.86860,0
1760912100000,0.65840,0.66040,0.65810,0.65950,2774207,1760912999999,1828570.07620,5182,1889904,1245752.75710,0
1760913000000,0.65950,0.66060,0.65890,0.65950,1654122,1760913899999,1091187.22190,3608,889317,586736.67080,0
1760913900000,0.65940,0.65950,0.65730,0.65820,2457746,1760914799999,1617792.28980,4458,1570588,1033828.59050,0
1760914800000,0.65820,0.65830,0.65480,0.65510,3291507,1760915699999,2159419.75640,5959,1483729,973352.69110,0
1760915700000,0.65510,0.65570,0.65370,0.65470,2390452,1760916599999,1564555.37290,5045,847381,554733.46940,0
1760916600000,0.65460,0.65550,0.65090,0.65170,5643599,1760917499999,3683848.73560,7635,2057252,1343000.08550,0
1760917500000,0.65170,0.65280,0.65060,0.65240,5490887,1760918399999,3577741.18470,6193,2675571,1743984.39240,0
1760918400000,0.65240,0.65280,0.64810,0.64830,6251605,1760919299999,4065389.72890,10149,2540113,1652278.11200,0
1760919300000,0.64830,0.64880,0.64010,0.64250,19175004,1760920199999,12340950.55450,22108,9551225,6148526.65540,0
1760920200000,0.64240,0.64640,0.63890,0.64450,13703923,1760921099999,8797117.23070,18082,7300333,4691257.85340,0
1760921100000,0.64450,0.64670,0.64400,0.64600,3900494,1760921999999,2517151.53130,8397,1757147,1134233.58330,0
1760922000000,0.64600,0.64880,0.64410,0.64730,5429826,1760922899999,3512591.18840,10794,3094924,2002421.23270,0
1760922900000,0.64730,0.64810,0.64500,0.64670,3525958,1760923799999,2279257.47590,7682,1581361,1022385.69200,0
1760923800000,0.64670,0.64800,0.64440,0.64570,2309921,1760924699999,1491777.87250,6124,1196252,772730.59120,0
1760924700000,0.64570,0.64700,0.64450,0.64530,2711106,1760925599999,1750045.54250,6205,1384992,893965.49800,0
1760925600000,0.64530,0.64530,0.64100,0.64250,5630077,1760926499999,3619272.58040,8513,2543962,1635390.30570,0
1760926500000,0.64250,0.64790,0.64200,0.64620,5152679,1760927399999,3328797.24910,8978,3496650,2258641.42000,0
1760927400000,0.64620,0.65010,0.64480,0.64870,7881197,1760928299999,5109845.55030,10967,4806086,3117246.98670,0
1760928300000,0.64860,0.65040,0.64760,0.64840,4597429,1760929199999,2982850.12230,6475,2063304,1338763.23780,0
1760929200000,0.64840,0.64890,0.64610,0.64750,3094827,1760930099999,2003851.94400,5868,1386058,897413.08460,0
1760930100000,0.64750,0.65080,0.64730,0.64930,2616593,1760930999999,1698698.69730,5354,1272030,825593.53020,0
1760931000000,0.64930,0.65420,0.64780,0.65280,5894404,1760931899999,3836202.04320,8840,2965019,1930272.93750,0
1760931900000,0.65270,0.66470,0.65170,0.66240,17177644,1760932799999,11326360.06120,23691,8552424,5636731.34340,0
1760932800000,0.66240,0.66590,0.66160,0.66390,9705562,1760933699999,6439239.48190,16794,5246372,3481212.12600,0
1760933700000,0.66390,0.66500,0.66000,0.66110,6272556,1760934599999,4151006.44510,10355,2685490,1777141.58400,0
1760934600000,0.66110,0.66390,0.66100,0.66260,3608773,1760935499999,2390936.26320,7832,1666956,1104308.61820,0
1760935500000,0.66250,0.66470,0.66140,0.66460,3435963,1760936399999,2278528.36520,6145,1823825,1209696.98020,0
1760936400000,0.66460,0.66490,0.66160,0.66370,3700846,1760937299999,2453304.65490,7040,1574448,1043612.65720,0
1760937300000,0.66380,0.66540,0.66170,0.66400,3827062,1760938199999,2539939.13000,7226,1938125,1286290.82540,0
1760938200000,0.66400,0.66600,0.66370,0.66520,3995883,1760939099999,2656665.97390,7625,1487046,988893.67710,0
1760939100000,0.66530,0.66890,0.66460,0.66740,6321808,1760939999999,4216437.87170,9482,3008728,2006564.93720,0
1760940000000,0.66740,0.67170,0.66670,0.67030,10221760,1760940899999,6840240.61510,13538,5783373,3870179.10910,0
1760940900000,0.67040,0.67310,0.67010,0.67060,8217407,1760941799999,5518214.23130,11177,4218989,2833510.40490,0
1760941800000,0.67070,0.67540,0.67060,0.67510,8697861,1760942699999,5859521.95000,12687,5033151,3390777.14750,0
1760942700000,0.67510,0.67550,0.67240,0.67280,4954771,1760943599999,3338528.06850,8424,1997032,1345740.77890,0
1760943600000,0.67280,0.67280,0.67000,0.67160,6601650,1760944499999,4430680.62510,9698,3263798,2190456.44460,0
1760944500000,0.67160,0.67320,0.67070,0.67250,2979796,1760945399999,2002380.23220,5694,1782200,1197707.44000,0
1760945400000,0.67260,0.67260,0.66810,0.66920,9122753,1760946299999,6113904.13850,8078,2585632,1732724.95040,0
1760946300000,0.66920,0.66970,0.66700,0.66940,3842112,1760947199999,2567689.18600,5775,1907644,1274970.34400,0
1760947200000,0.66940,0.66970,0.66670,0.66810,5088495,1760948099999,3399056.30190,7635,1867677,1247788.01480,0
1760948100000,0.66820,0.66890,0.66520,0.66870,4290120,1760948999999,2861487.01340,6756,1748327,1166155.48910,0
1760949000000,0.66870,0.67320,0.66750,0.67000,7135150,1760949899999,4779854.29460,10737,3725621,2495878.02430,0
1760949900000,0.67000,0.67150,0.66840,0.66920,10354310,1760950799999,6937311.48150,10419,4400739,2948505.41440,0
1760950800000,0.66920,0.67090,0.66780,0.66970,3908807,1760951699999,2615526.19100,7016,1552718,1038976.21850,0
1760951700000,0.66980,0.67030,0.66760,0.66910,3653619,1760952599999,2443901.86340,6419,1080869,722976.65370,0
1760952600000,0.66910,0.67040,0.66810,0.66970,4289170,1760953499999,2871478.64520,5964,2458201,1645998.55620,0
1760953500000,0.66980,0.67230,0.66880,0.67120,2914634,1760954399999,1954338.46320,5377,1643175,1101827.31300,0
1760954400000,0.67120,0.67280,0.66930,0.67030,3891202,1760955299999,2611498.09670,6484,1646157,1104594.91390,0
1760955300000,0.67040,0.67240,0.67030,0.67200,2876060,1760956199999,1931000.36110,6744,1391754,934500.73600,0
1760956200000,0.67200,0.67400,0.66870,0.66910,9756277,1760957099999,6550184.22560,10233,4230641,2842115.37730,0
1760957100000,0.66900,0.66980,0.66710,0.66930,8217954,1760957999999,5494584.56340,9105,3139492,2099521.54140,0
1760958000000,0.66920,0.66960,0.66210,0.66300,14614476,1760958899999,9737647.87840,13417,6582120,4385000.73970,0
1760958900000,0.66310,0.66660,0.66300,0.66580,7171525,1760959799999,4768959.40000,9593,3745344,2490509.91690,0
