open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,1124.930,1126.260,1121.620,1122.070,6328.05,1760900399999,7110028.95690,12619,2280.30,2562729.87100,0
1760900400000,1122.080,1122.600,1115.700,1117.740,13143.60,1760901299999,14703215.13350,21053,4851.01,5427979.94970,0
1760901300000,1117.730,1119.120,1116.320,1116.690,5113.22,1760902199999,5714204.88280,11485,2643.03,2954087.19100,0
1760902200000,1116.710,1117.280,1114.500,1116.740,7773.60,1760903099999,8673881.32440,13034,2904.28,3241776.36410,0
1760903100000,1116.740,1117.090,1114.340,1116.190,4923.80,1760903999999,5493691.56190,9875,2376.07,2651265.47050,0
1760904000000,1116.190,1118.350,1115.280,1115.890,5124.43,1760904899999,5722757.43980,10279,2373.75,2651310.92560,0
1760904900000,1115.890,1116.830,1114.980,1116.590,3504.58,1760905799999,3911200.72390,6995,1614.72,1802065.09300,0
1760905800000,1116.590,1118.690,1116.320,1118.350,2758.16,1760906699999,3082062.11860,7579,1662.15,1857386.50850,0
1760906700000,1118.350,1119.570,1116.670,1119.020,3306.99,1760907599999,3697909.95860,9403,1801.30,2014370.34720,0
1760907600000,1119.020,1120.180,1114.390,1116.170,6411.90,1760908499999,7164725.99580,11837,2796.54,3125044.13370,0
1760908500000,1116.170,1116.490,1111.930,1112.820,8111.12,1760909399999,9031536.84910,11721,2555.21,2845168.64430,0
1760909400000,1112.830,1115.000,1112.400,1115.000,3502.66,1760910299999,3901013.29970,6480,1664.80,1854178.50140,0
1760910300000,1115.000,1115.430,1113.320,1115.290,1706.65,1760911199999,1902231.56350,5082,836.67,932520.84610,0
1760911200000,1115.300,1119.220,1115.300,1118.040,4570.31,1760912099999,5106467.51230,13791,2522.02,2817642.26660,0
1760912100000,1118.010,1120.240,1117.110,1119.370,4463.40,1760912999999,4993943.71450,11449,2461.27,2754037.19950,0
1760913000000,1119.370,1121.280,1118.700,1120.830,4397.67,1760913899999,4925873.55730,9063,2553.76,2860433.95520,0
1760913900000,1120.820,1120.880,1117.740,1118.310,5465.33,1760914799999,6116233.38530,9995,2162.92,2420879.24270,0
1760914800000,1118.300,1118.340,1114.390,1114.910,6589.48,1760915699999,7351459.50490,11762,2440.96,2723195.25720,0
1760915700000,1114.900,1115.240,1111.320,1112.650,7803.26,1760916599999,8683814.53670,12406,3223.87,3588033.02850,0
1760916600000,1112.640,1112.880,1107.350,1107.980,13078.12,1760917499999,14509126.22640,16903,3937.62,4367765.43910,0
1760917500000,1107.970,1109.220,1106.700,1109.080,6239.81,1760918399999,6914711.12500,10891,3610.28,4001180.67410,0
1760918400000,1109.070,1109.140,1101.850,1105.000,19270.26,1760919299999,21289291.75780,27897,8470.85,9358028.38800,0
1760919300000,1105.000,1105.000,1092.000,1094.300,31356.35,1760920199999,34376247.66870,42313,10814.51,11856962.32030,0
1760920200000,1094.290,1097.320,1086.870,1095.650,27386.50,1760921099999,29914671.60740,40195,13660.31,14932740.49130,0
1760921100000,1095.640,1100.910,1094.760,1100.550,11648.78,1760921999999,12791568.06360,22955,7576.25,8321441.42870,0
1760922000000,1100.550,1103.690,1097.330,1101.350,15061.93,1760922899999,16583457.66550,25520,9058.90,9977278.91170,0
1760922900000,1101.340,1103.570,1099.430,1101.300,7484.26,1760923799999,8244009.05480,17559,3943.01,4344266.00310,0
1760923800000,1101.290,1104.570,1099.060,1101.510,5505.15,1760924699999,6064075.29290,15321,2618.30,2884848.29460,0
1760924700000,1101.510,1104.460,1100.210,1103.240,5952.99,1760925599999,6563874.47950,15778,3480.93,3838393.46890,0
1760925600000,1103.240,1103.240,1095.640,1098.160,9866.26,1760926499999,10843110.81100,21267,4212.97,4630758.33320,0
1760926500000,1098.150,1105.390,1096.370,1104.030,9130.54,1760927399999,10069261.78910,20174,5241.51,5781572.53470,0
1760927400000,1104.030,1110.980,1102.130,1109.200,18191.20,1760928299999,20154689.11380,27938,11415.40,12649994.09810,0
1760928300000,1109.190,1111.290,1107.600,1109.100,11616.86,1760929199999,12890846.22950,19088,5748.98,6380760.81930,0
1760929200000,1109.100,1109.450,1106.000,1109.000,5572.72,1760930099999,6172912.76730,13602,2546.57,2821117.90670,0
