open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,109263.20,109382.10,109234.00,109315.40,701.321,1760900399999,76668657.21650,20224,362.866,39666756.88140,0
1760900400000,109315.30,109315.40,108803.50,109015.30,1271.362,1760901299999,138613625.10360,39868,474.215,51705056.32360,0
1760901300000,109015.30,109130.00,108983.50,109079.70,496.754,1760902199999,54175357.29390,20859,245.279,26747945.26250,0
1760902200000,109079.70,109079.70,108713.00,108865.60,1016.685,1760903099999,110679952.52800,29010,441.329,48042166.99990,0
1760903100000,108865.70,108909.40,108739.50,108850.00,586.894,1760903999999,63872425.61000,18289,261.576,28468289.99940,0
1760904000000,108850.10,108932.20,108751.80,108821.80,543.127,1760904899999,59114335.76830,21295,347.901,37867377.21200,0
1760904900000,108821.90,108891.30,108773.30,108889.60,545.812,1760905799999,59404581.28690,18171,330.121,35929199.62990,0
1760905800000,108889.70,108918.70,108766.10,108845.80,374.371,1760906699999,40742124.73130,14984,204.665,22273356.48320,0
1760906700000,108845.90,108939.00,108781.10,108790.60,495.674,1760907599999,53952110.05650,20525,224.466,24431662.13580,0
1760907600000,108790.60,108817.60,108662.00,108720.40,558.778,1760908499999,60771533.90510,18036,253.301,27548695.68930,0
1760908500000,108720.40,108729.40,108556.40,108567.70,678.114,1760909399999,73660281.49260,13095,210.887,22908767.06070,0
1760909400000,108567.80,108729.50,108567.70,108701.00,326.606,1760910299999,35487202.25220,9714,200.442,21779604.83190,0
1760910300000,108701.00,108726.80,108579.20,108691.20,269.576,1760911199999,29288634.22560,9678,153.529,16679436.14660,0
1760911200000,108691.30,109046.60,108691.30,109004.20,1111.759,1760912099999,121040727.12800,40553,594.580,64734294.86230,0
1760912100000,109004.10,109198.30,108973.00,109130.80,687.996,1760912999999,75054182.48790,34615,406.634,44360200.46940,0
1760913000000,109130.90,109340.70,109128.30,109224.80,769.917,1760913899999,84097952.58090,30782,483.624,52825198.43160,0
1760913900000,109224.90,109280.00,109041.50,109088.90,480.137,1760914799999,52405926.75240,22565,160.837,17557865.17010,0
1760914800000,109088.80,109088.90,108770.60,108790.80,658.492,1760915699999,71694940.93900,23497,272.204,29632125.13650,0
1760915700000,108790.70,108859.20,108625.00,108719.80,763.710,1760916599999,83037994.02380,19822,364.340,39614206.23870,0
1760916600000,108719.90,108766.80,108366.40,108490.40,1159.537,1760917499999,125880224.33840,31255,403.913,43860216.20780,0
1760917500000,108490.40,108600.20,108391.20,108586.20,948.537,1760918399999,102913195.77060,23934,548.907,59557630.21270,0
1760918400000,108586.20,108586.20,107980.80,108030.00,2347.999,1760919299999,254140252.42570,56362,721.037,78052791.99030,0
1760919300000,108030.00,108075.80,107430.50,107614.10,3809.427,1760920199999,410456697.18350,95975,1583.862,170644833.11170,0
1760920200000,107614.20,108068.10,107377.20,107791.60,2508.919,1760921099999,270150690.03890,78871,1367.181,147237153.20150,0
1760921100000,107791.60,108075.10,107750.00,108011.10,1226.841,1760921999999,132387729.52210,44994,647.635,69888195.23410,0
1760922000000,108011.10,108257.30,107841.70,108064.90,1456.970,1760922899999,157439355.93930,48801,737.686,79722160.61790,0
1760922900000,108064.90,108167.80,107849.50,108072.80,790.829,1760923799999,85389146.90400,37341,427.497,46160935.77110,0
1760923800000,108072.80,108180.00,107912.50,108039.40,760.148,1760924699999,82106747.18150,33036,366.174,39552601.52920,0
1760924700000,108039.50,108193.60,107960.00,108011.80,1204.791,1760925599999,130186201.68920,41132,641.862,69354817.26880,0
1760925600000,108011.90,108071.70,107801.90,107962.40,1107.940,1760926499999,119553706.58260,38600,554.057,59787434.49300,0
1760926500000,107962.30,108476.90,107943.50,108405.90,1335.080,1760927399999,144623262.51150,45462,832.267,90140717.27620,0
1760927400000,108405.90,108752.40,108260.00,108703.20,1580.081,1760928299999,171553756.59110,53162,932.957,101288324.69030,0
1760928300000,108703.20,108935.80,108606.30,108714.30,1221.990,1760929199999,132905067.60160,41690,664.194,72237121.50110,0
1760929200000,108714.30,108730.00,108511.90,108663.90,636.203,1760930099999,69101976.68580,27209,269.548,29278186.54280,0
1760930100000,108663.90,108920.10,108614.70,108728.60,856.104,1760930999999,93112989.45200,28277,476.827,51862827.60350,0
1760931000000,108728.70,109200.00,108607.60,109080.00,1469.247,1760931899999,160096946.96190,44285,859.888,93700007.67790,0
1760931900000,109080.00,110404.30,109020.30,110100.40,8619.651,1760932799999,947378815.36520,188213,4838.265,531642382.37060,0
1760932800000,110100.30,110490.40,110030.40,110344.80,3485.241,1760933699999,384129743.53330,102235,1723.617,189996505.02470,0
1760933700000,110344.70,110430.50,109875.00,110001.00,3547.468,1760934599999,390358300.65920,71749,1750.316,192572420.30370,0
1760934600000,110001.00,110258.30,110001.00,110190.00,1313.874,1760935499999,144738788.73160,49315,645.919,71154337.18940,0
1760935500000,110190.00,110405.30,110135.60,110369.30,1458.653,1760936399999,160909664.95560,33315,680.102,75029600.68900,0
1760936400000,110369.20,110555.00,110232.10,110475.40,1419.468,1760937299999,156655521.45330,42485,847.703,93562766.22540,0
1760937300000,110475.40,110677.20,110384.20,110510.40,1849.603,1760938199999,204472708.01180,53633,968.772,107103070.67060,0
