open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,0.197380,0.197460,0.196900,0.197090,32521982,1760900399999,6412687.059030,10739,10419755,2054688.851670,0
1760900400000,0.197090,0.197090,0.195960,0.196560,38125005,1760901299999,7494837.400790,15074,15837851,3113755.960520,0
1760901300000,0.196550,0.196830,0.196390,0.196770,16714101,1760902199999,3286112.259920,8654,9058107,1780828.995210,0
1760902200000,0.196760,0.196820,0.196210,0.196580,16749276,1760903099999,3291555.711830,8805,7759172,1524860.932440,0
1760903100000,0.196580,0.196890,0.196280,0.196710,25819530,1760903999999,5077982.296230,9314,18049884,3550436.272760,0
1760904000000,0.196700,0.197500,0.196610,0.196770,60169777,1760904899999,11856620.771140,15710,24417872,4812493.640200,0
1760904900000,0.196770,0.196970,0.196530,0.196920,13496485,1760905799999,2655863.714970,7604,6228243,1225657.920550,0
1760905800000,0.196920,0.197190,0.196660,0.197130,11555008,1760906699999,2276035.644560,6897,5990318,1179979.975020,0
1760906700000,0.197130,0.197510,0.197050,0.197260,24332785,1760907599999,4799950.233360,11834,13274069,2618694.475070,0
1760907600000,0.197260,0.197380,0.196400,0.196690,43385272,1760908499999,8541241.452290,12608,18676981,3677730.779240,0
1760908500000,0.196680,0.196780,0.196010,0.196020,46687422,1760909399999,9166486.689770,11712,19890881,3907080.290940,0
1760909400000,0.196020,0.196460,0.195580,0.196320,35306418,1760910299999,6919977.800760,10182,14591979,2860886.848090,0
1760910300000,0.196310,0.196490,0.196050,0.196370,11837584,1760911199999,2323655.286690,7373,4547581,892666.339720,0
1760911200000,0.196380,0.197160,0.196170,0.196900,59118143,1760912099999,11628733.476460,21099,35568044,6996898.150290,0
1760912100000,0.196900,0.197370,0.196690,0.197200,49567791,1760912999999,9770392.783270,14058,29504205,5815897.928140,0
1760913000000,0.197210,0.197520,0.197090,0.197380,31669793,1760913899999,6250113.159210,11373,14161328,2794914.050570,0
1760913900000,0.197380,0.197380,0.196550,0.196830,26783137,1760914799999,5274506.248620,10190,11200907,2205597.406410,0
1760914800000,0.196840,0.196840,0.195680,0.195940,44079511,1760915699999,8643552.837540,13781,16856289,3305044.801550,0
1760915700000,0.195940,0.196050,0.195440,0.195780,25253908,1760916599999,4942849.541920,9563,11392310,2229596.262890,0
1760916600000,0.195780,0.195960,0.194740,0.194960,74501310,1760917499999,14538638.340990,18192,32744831,6389569.495840,0
1760917500000,0.194960,0.195380,0.194730,0.195260,52872933,1760918399999,10310067.989820,13524,25542519,4981414.667040,0
1760918400000,0.195260,0.195260,0.194190,0.194230,92161280,1760919299999,17931359.268910,24372,40553203,7888652.602730,0
1760919300000,0.194220,0.194280,0.192230,0.192900,176043917,1760920199999,34001021.990030,44703,82190822,15869956.700690,0
1760920200000,0.192900,0.193810,0.191600,0.193230,148647124,1760921099999,28635501.999130,42895,72431959,13957163.009390,0
1760921100000,0.193240,0.194250,0.193090,0.194080,79099268,1760921999999,15326469.330160,20839,40378572,7825657.803510,0
1760922000000,0.194090,0.194940,0.193500,0.194410,87918894,1760922899999,17084525.486300,24676,47212483,9175369.603700,0
1760922900000,0.194420,0.194790,0.193920,0.194490,45287725,1760923799999,8800161.496450,18811,21313090,4142212.452260,0
1760923800000,0.194490,0.194900,0.193620,0.194030,42700411,1760924699999,8293410.367340,16838,21154821,4108906.901190,0
1760924700000,0.194030,0.194510,0.193640,0.193980,44928215,1760925599999,8714665.293140,17488,22049736,4277127.196020,0
1760925600000,0.193970,0.193970,0.192740,0.193340,77273269,1760926499999,14932101.375970,22810,30268058,5849107.738790,0
1760926500000,0.193350,0.194720,0.193160,0.194430,57463453,1760927399999,11163922.933380,20414,35764894,6948156.979530,0
1760927400000,0.194430,0.195580,0.194160,0.195130,89835910,1760928299999,17521067.819960,24717,47851544,9334537.458900,0
1760928300000,0.195130,0.195510,0.194630,0.194830,41138506,1760929199999,8023333.130930,15884,19746779,3851791.377520,0
1760929200000,0.194830,0.194840,0.194130,0.194530,33717648,1760930099999,6556763.788380,13925,13023775,2532693.131320,0
1760930100000,0.194530,0.195570,0.194430,0.195270,34576514,1760930999999,6744721.947920,13937,22004113,4292162.533610,0
1760931000000,0.195270,0.196680,0.194850,0.196160,58983326,1760931899999,11550793.588510,19643,34288912,6715823.418600,0
1760931900000,0.196160,0.199970,0.196000,0.199110,315716723,1760932799999,62674264.288390,64753,173143045,34365951.969120,0
1760932800000,0.199120,0.200930,0.199120,0.200290,197922384,1760933699999,39578778.955020,51468,101099942,20216191.464400,0
1760933700000,0.200280,0.200780,0.199430,0.199840,124849885,1760934599999,24964783.345830,30225,57665720,11532725.047740,0
1760934600000,0.199840,0.200710,0.199840,0.200140,58773958,1760935499999,11766966.904410,22265,29846986,5975605.723140,0
1760935500000,0.200130,0.200880,0.199840,0.200860,42382969,1760936399999,8494017.076250,15053,22370704,4483985.273920,0
1760936400000,0.200870,0.201220,0.200130,0.200880,59447180,1760937299999,11925546.858410,19075,27385269,5495010.207940,0
1760937300000,0.200870,0.201100,0.200010,0.200690,62104446,1760938199999,12459850.332750,18540,26065724,5230142.049650,0
1760938200000,0.200690,0.201490,0.200550,0.200850,55496272,1760939099999,11152496.578140,19138,27419842,5510326.872410,0
1760939100000,0.200850,0.201760,0.200510,0.201240,61003525,1760939999999,12270974.886510,18853,29537003,5942173.389950,0
1760940000000,0.201250,0.201560,0.200720,0.201140,60899464,1760940899999,12250445.593820,21225,29388254,5912190.469690,0
1760940900000,0.201140,0.201980,0.201130,0.201440,58728663,1760941799999,11839881.776450,19332,28900629,5826426.605710,0
1760941800000,0.201440,0.202370,0.201420,0.202310,85653602,1760942699999,17303495.817440,23274,47568188,9609227.108550,0
1760942700000,0.202320,0.202400,0.201640,0.201850,55420827,1760943599999,11197969.243750,16019,20763644,4195813.936380,0
1760943600000,0.201850,0.201850,0.201110,0.201620,70687130,1760944499999,14237724.081090,17923,33239790,6695075.513460,0
