open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,3999.56,4003.38,3997.48,3999.60,9576.459,1760900399999,38307230.46297,24177,3492.629,13971960.49259,0
1760900400000,3999.60,4003.40,3975.86,3987.76,28723.663,1760901299999,114588066.63075,46147,11683.338,46629730.48833,0
1760901300000,3987.76,3990.18,3984.00,3990.17,14334.247,1760902199999,57144329.73776,24858,7222.323,28792190.54031,0
1760902200000,3990.17,3990.18,3977.63,3983.34,16343.367,1760903099999,65107796.11792,28094,7832.971,31204450.42982,0
1760903100000,3983.34,3988.63,3976.60,3984.63,14552.108,1760903999999,57958030.29499,28557,8199.438,32659272.96317,0
1760904000000,3984.63,3986.42,3976.25,3977.30,20108.625,1760904899999,80065889.43061,31162,9147.921,36427563.43046,0
1760904900000,3977.30,3982.93,3971.76,3982.93,11537.157,1760905799999,45887810.37853,22441,5796.818,23060859.09851,0
1760905800000,3982.93,3984.64,3978.60,3981.91,5931.040,1760906699999,23619444.15632,15378,2824.730,11249274.77680,0
1760906700000,3981.91,4002.10,3981.90,3999.16,23311.762,1760907599999,93103435.90341,43264,15779.085,63017430.54441,0
1760907600000,3999.16,4002.95,3993.55,4000.87,21501.020,1760908499999,85963753.44345,37927,8866.008,35447332.42422,0
1760908500000,4000.87,4001.19,3984.58,3984.61,11571.575,1760909399999,46180944.89574,21397,3463.825,13823762.81018,0
1760909400000,3984.61,3993.35,3982.53,3989.39,7248.320,1760910299999,28904500.91401,14651,3931.186,15676838.18025,0
1760910300000,3989.39,3996.74,3986.77,3995.65,7102.476,1760911199999,28348642.28919,18529,3668.508,14641386.71990,0
1760911200000,3995.65,4008.97,3986.74,4002.64,30682.669,1760912099999,122693061.48366,68612,16529.926,66095628.55862,0
1760912100000,4002.63,4018.87,4000.24,4013.47,30613.630,1760912999999,122784517.76537,57296,18472.939,74102679.78085,0
1760913000000,4013.47,4021.42,4009.06,4020.89,20775.916,1760913899999,83448639.72046,43415,10957.237,44010190.91854,0
1760913900000,4020.89,4030.00,4016.57,4018.54,25892.849,1760914799999,104148117.99512,46557,13515.966,54372151.40339,0
1760914800000,4018.55,4018.55,3997.18,4000.83,39048.200,1760915699999,156418608.77961,56616,16638.803,66639574.12907,0
1760915700000,4000.83,4000.84,3990.16,3992.25,17139.959,1760916599999,68479134.74721,30781,9094.725,36337033.09333,0
1760916600000,3992.24,3995.54,3967.00,3974.66,49800.054,1760917499999,198143631.52314,66363,18372.705,73121593.26440,0
1760917500000,3974.66,3985.36,3972.77,3980.59,23647.458,1760918399999,94098478.72677,40326,13063.437,51984615.27902,0
1760918400000,3980.60,3980.77,3953.43,3954.85,56227.080,1760919299999,222939735.13448,79186,19703.306,78130299.91483,0
1760919300000,3954.85,3959.40,3919.60,3924.32,110350.151,1760920199999,434590748.84342,152902,48303.865,190248794.13096,0
1760920200000,3924.32,3941.88,3906.89,3931.58,93960.032,1760921099999,368487559.78585,134017,52456.756,205806874.21893,0
1760921100000,3931.59,3944.62,3926.49,3940.25,34221.582,1760921999999,134681458.65430,66397,19400.236,76359425.77410,0
1760922000000,3940.24,3951.82,3927.97,3941.45,46337.082,1760922899999,182683914.07860,75458,24632.634,97133241.62646,0
1760922900000,3941.45,3952.71,3937.65,3946.01,21583.731,1760923799999,85126492.20757,53093,11456.056,45187834.57291,0
1760923800000,3946.00,3950.00,3933.80,3942.23,17339.364,1760924699999,68335025.65936,42393,6888.235,27148758.43659,0
1760924700000,3942.23,3948.72,3934.85,3936.14,18414.046,1760925599999,72577137.62184,46990,8687.363,34244449.79167,0
1760925600000,3936.14,3936.14,3917.23,3926.59,45012.244,1760926499999,176733082.02671,67422,16473.957,64684013.88334,0
1760926500000,3926.59,3949.00,3923.68,3944.88,32194.132,1760927399999,126919591.73043,62004,18874.773,74399581.22162,0
1760927400000,3944.88,3962.03,3940.00,3956.46,46583.993,1760928299999,184234498.42917,72016,26288.246,103969921.59776,0
1760928300000,3956.46,3965.26,3950.32,3954.82,25908.962,1760929199999,102534490.62884,46364,13797.210,54603755.15458,0
1760929200000,3954.84,3955.91,3945.82,3955.06,18268.335,1760930099999,72177755.14691,36633,6880.587,27189120.94913,0
1760930100000,3955.05,3967.55,3953.46,3960.41,19754.410,1760930999999,78241986.46655,51033,12140.735,48086269.63121,0
1760931000000,3960.42,3985.70,3953.05,3977.72,46055.137,1760931899999,182943847.31789,70465,26030.590,103411600.65536,0
1760931900000,3977.72,4040.00,3973.30,4025.88,141489.074,1760932799999,567952937.22524,212321,75097.599,301424088.38348,0
1760932800000,4025.87,4047.09,4023.39,4033.36,80530.180,1760933699999,324891713.02424,147009,39902.554,161004275.94385,0
1760933700000,4033.35,4037.97,4021.42,4029.31,40932.773,1760934599999,164871537.95627,71103,18102.725,72923067.18529,0
1760934600000,4029.32,4044.09,4029.31,4038.88,41886.653,1760935499999,169143801.31568,70912,22516.917,90914704.96912,0
1760935500000,4038.88,4054.74,4033.94,4052.88,54522.404,1760936399999,220574717.26347,64582,33498.102,135559388.59879,0
1760936400000,4052.87,4054.39,4040.21,4052.18,41348.029,1760937299999,167307179.35044,68611,16457.397,66595444.06848,0
1760937300000,4052.19,4054.49,4042.47,4051.88,30092.941,1760938199999,121862463.06716,59002,13762.582,55733315.42350,0
