open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,189.8700,190.1000,189.6300,189.8100,104804.43,1760900399999,19895844.293200,17474,50553.67,9597607.162000,0
1760900400000,189.8100,189.8200,188.6100,188.8700,178731.14,1760901299999,33798045.777000,27626,72225.45,13659203.233500,0
1760901300000,188.8600,189.0400,188.7200,188.9400,84295.70,1760902199999,15920850.586100,14514,44337.56,8374064.229900,0
1760902200000,188.9400,189.1400,188.4700,188.7000,82242.82,1760903099999,15525544.695000,16875,35311.14,6667751.545300,0
1760903100000,188.7000,188.8200,188.2400,188.8100,105158.96,1760903999999,19821455.695000,17906,56396.99,10632791.587100,0
1760904000000,188.8000,189.1000,188.5900,188.7500,100374.62,1760904899999,18954605.303000,17770,53798.01,10159841.217100,0
1760904900000,188.7600,189.2100,188.5200,189.1800,68481.94,1760905799999,12931094.377600,13040,39110.88,7385498.959500,0
1760905800000,189.1800,189.5300,188.9400,189.4900,120969.89,1760906699999,22898298.744800,14992,65869.62,12467250.060600,0
1760906700000,189.4900,189.7800,189.2100,189.5500,102182.12,1760907599999,19363645.995500,17487,57552.85,10906508.823800,0
1760907600000,189.5500,189.7100,188.8400,188.8600,107117.93,1760908499999,20268443.465000,18974,47009.87,8895545.299700,0
1760908500000,188.8700,189.0000,188.3300,188.3800,120406.35,1760909399999,22717800.670600,18129,45520.80,8588793.516700,0
1760909400000,188.3800,189.2600,188.2400,189.1600,81876.32,1760910299999,15445580.540900,13942,43923.94,8289604.598100,0
1760910300000,189.1600,189.3100,188.8500,189.1800,48187.13,1760911199999,9112150.543100,11582,20518.33,3880070.836700,0
1760911200000,189.1900,189.4500,188.8100,189.2300,157950.58,1760912099999,29880139.037700,29620,96318.87,18221388.641800,0
1760912100000,189.2200,189.7400,189.0700,189.4300,109815.92,1760912999999,20796480.274600,24466,59982.38,11359525.666400,0
1760913000000,189.4400,189.9100,189.3400,189.6700,96091.43,1760913899999,18227033.800000,19341,49692.53,9425824.441900,0
1760913900000,189.6700,190.0600,189.4800,189.7200,108562.03,1760914799999,20604340.574200,19699,61946.38,11756786.337500,0
1760914800000,189.7200,189.7300,188.5700,188.7000,120683.83,1760915699999,22802456.468900,22557,50996.86,9633389.768100,0
1760915700000,188.7000,188.9100,188.3100,188.4500,106393.23,1760916599999,20063109.552600,17048,47918.01,9036547.607900,0
1760916600000,188.4400,188.5900,186.7700,187.0100,438485.75,1760917499999,82187006.292720,50165,167564.75,31405054.129400,0
1760917500000,187.0000,187.8100,186.8000,187.7800,161679.64,1760918399999,30296376.194300,22270,93172.30,17461984.458600,0
1760918400000,187.7800,187.7800,186.1800,186.2800,255287.14,1760919299999,47713120.674100,35093,94807.77,17724844.200400,0
1760919300000,186.2900,186.5400,184.1300,184.5100,603552.77,1760920199999,111820025.612160,76943,261397.93,48436897.914500,0
1760920200000,184.5000,185.3600,183.6800,184.8600,469828.08,1760921099999,86661958.793800,62672,249723.64,46076315.952400,0
1760921100000,184.8600,185.6300,184.5900,185.5000,203486.22,1760921999999,37662756.890900,35200,116662.91,21596093.769700,0
1760922000000,185.5000,185.9500,184.8400,185.3700,197677.76,1760922899999,36669795.793210,34038,101326.59,18800874.122410,0
1760922900000,185.3700,185.8300,185.0200,185.6200,117993.59,1760923799999,21877527.807900,28540,65059.12,12063483.482600,0
1760923800000,185.6200,186.2500,185.3100,185.7300,169706.88,1760924699999,31538622.693000,31037,84986.55,15796233.273300,0
1760924700000,185.7300,186.0400,185.3000,185.5400,139112.14,1760925599999,25820269.692600,29369,66264.66,12299415.390200,0
1760925600000,185.5400,185.5400,184.0100,184.5100,285699.30,1760926499999,52748333.160160,45522,110828.17,20463553.070800,0
1760926500000,184.5100,186.1200,184.3600,185.6300,256789.83,1760927399999,47628395.421220,42069,141796.94,26300714.794820,0
1760927400000,185.6300,186.6600,185.0300,186.4700,376356.96,1760928299999,70061865.655900,50903,209061.94,38927392.498000,0
1760928300000,186.4600,187.2700,186.3600,186.7900,269793.23,1760929199999,50415641.513400,38547,137486.28,25689496.327300,0
1760929200000,186.7900,186.8400,185.7500,186.5800,248734.43,1760930099999,46329251.600100,38308,116025.67,21611648.913700,0
1760930100000,186.5900,187.3000,186.3800,186.7300,143582.61,1760930999999,26826453.774100,29439,81628.52,15253001.673900,0
1760931000000,186.7300,188.2900,186.5100,187.9700,217926.32,1760931899999,40867356.259920,36374,129729.33,24327689.595520,0
1760931900000,187.9700,191.7000,187.8200,191.1400,833701.84,1760932799999,158624067.041900,116383,456145.54,86734819.191900,0
1760932800000,191.1400,192.4200,191.1400,191.5000,473372.64,1760933699999,90721288.122150,79032,229732.96,44034752.910950,0
1760933700000,191.5000,191.7900,190.5200,190.9100,295928.59,1760934599999,56498222.337400,45251,117039.85,22346368.154400,0
1760934600000,190.9200,191.8600,190.9100,191.7000,195737.64,1760935499999,37492886.473600,36481,85188.45,16315587.481800,0
1760935500000,191.7000,192.2000,191.4600,192.1000,162614.55,1760936399999,31197675.922900,27413,82309.25,15793899.742200,0
1760936400000,192.1000,192.2400,191.4600,192.0400,243566.85,1760937299999,46729599.986800,35918,93957.17,18028840.240100,0
1760937300000,192.0300,192.8700,191.6300,192.5100,250906.29,1760938199999,48265446.023050,37385,138661.11,26678071.635750,0
1760938200000,192.5000,193.0000,192.1200,192.5000,229878.86,1760939099999,44278964.165600,37873,109617.56,21114303.141500,0
1760939100000,192.5000,193.3000,192.2000,192.9100,217179.58,1760939999999,41869771.716300,33015,129950.34,25056900.109000,0
1760940000000,192.9200,193.3300,192.6700,192.8500,227162.51,1760940899999,43847941.356500,38101,96689.24,18664241.115000,0
1760940900000,192.8600,193.4300,192.7600,193.3300,188439.93,1760941799999,36402846.022600,32746,97438.55,18822014.098100,0
1760941800000,193.3200,193.9700,193.3100,193.7300,193264.27,1760942699999,37426788.460900,35542,99283.13,19226650.892200,0
1760942700000,193.7400,194.2300,193.0600,193.8100,222311.30,1760943599999,43055057.852500,30013,104871.88,20318241.174700,0
1760943600000,193.8100,193.8100,193.1100,193.6900,192104.62,1760944499999,37165305.305800,30337,79570.36,15395728.813900,0
1760944500000,193.6800,194.4400,193.5400,193.7300,153168.01,1760945399999,29704630.191800,25550,75756.46,14695427.822400,0
1760945400000,193.7300,193.7400,193.1300,193.3400,193643.33,1760946299999,37451175.638300,23964,74824.60,14471369.634900,0
