open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760899500000,2.4061,2.4103,2.4050,2.4071,2480440.4,1760900399999,5971327.26955,9996,1109746.2,2671815.28993,0
1760900400000,2.4070,2.4070,2.3930,2.3987,3554832.3,1760901299999,8535079.36314,14401,1358220.8,3261386.68441,0
1760901300000,2.3986,2.4004,2.3956,2.3978,2393939.5,1760902199999,5740380.46535,9875,1096002.0,2628267.43538,0
1760902200000,2.3977,2.4002,2.3923,2.3947,2213040.9,1760903099999,5302086.19796,10122,781997.4,1873816.37697,0
1760903100000,2.3948,2.4003,2.3911,2.3972,3116625.6,1760903999999,7467492.40957,10529,2006171.5,4806965.91069,0
1760904000000,2.3973,2.4034,2.3939,2.3983,3855616.8,1760904899999,9247058.09076,13458,2109072.0,5057407.54109,0
1760904900000,2.3983,2.4040,2.3958,2.4036,1721538.4,1760905799999,4131245.96368,8176,897154.3,2153055.17927,0
1760905800000,2.4036,2.4041,2.3991,2.4019,1785397.6,1760906699999,4287312.48009,10027,811814.1,1949379.09973,0
1760906700000,2.4018,2.4064,2.4013,2.4043,3496270.3,1760907599999,8404578.86914,13922,1490438.8,3582910.98998,0
1760907600000,2.4043,2.4062,2.3966,2.3986,4069154.6,1760908499999,9766852.45812,11653,1572694.0,3774771.94803,0
1760908500000,2.3985,2.3990,2.3880,2.3888,4056104.6,1760909399999,9701960.31195,11404,1865580.4,4462456.52505,0
1760909400000,2.3888,2.3947,2.3856,2.3943,3262562.1,1760910299999,7795566.14102,10252,1995117.9,4767047.98989,0
1760910300000,2.3944,2.3972,2.3906,2.3954,2025527.1,1760911199999,4848344.00277,7453,801017.7,1917477.00996,0
1760911200000,2.3954,2.4046,2.3948,2.4020,4645266.3,1760912099999,11146936.12277,20950,2337589.5,5609060.75799,0
1760912100000,2.4019,2.4067,2.3993,2.4041,3564728.9,1760912999999,8565508.93578,14158,1730507.1,4158291.05821,0
1760913000000,2.4041,2.4086,2.4022,2.4075,2909911.2,1760913899999,7001597.89365,12921,1325155.4,3188480.55061,0
